Subject,Phase,Duration_sec,EMG_mean,EMG_std,EMG_min,EMG_max,EMG_range,EMG_median,EMG_rms,EDA_mean,EDA_std,EDA_min,EDA_max,EDA_range,EDA_median,EDA_rms,EDA_SCL,EDA_SCR_proxy,ECG_mean,ECG_std,ECG_min,ECG_max,ECG_range,ECG_median,ECG_rms
hase1,BASELINE,60.0010,3.4793,1.1397,1.5887,29.5695,27.9808,3.3070,3.6612,792.2802,39.6182,708.9258,880.3351,171.4094,789.3795,793.2702,792.2802,39.6182,-0.0742,95.4545,-249.9424,524.0838,774.0263,-0.1585,95.4545
hase1,TASK,73.0010,5.3433,2.6875,1.3249,28.0660,26.7411,4.7687,5.9811,774.9058,45.5661,698.7468,886.1532,187.4064,768.3330,776.2444,774.9058,45.5661,-0.0067,86.5485,-256.5384,500.9046,757.4430,0.8178,86.5485
hase1,PUZZLE,94.4010,5.0327,3.2658,1.1660,51.4280,50.2620,4.2031,5.9995,1006.8448,42.9040,799.7200,1021.6518,221.9317,1019.9891,1007.7585,1006.8448,42.9040,-0.0026,96.9980,-498.5705,507.1118,1005.6823,0.9794,96.9980
hase1,CHASE,36.0010,7.7693,6.2399,1.6092,66.2271,64.6179,5.4862,9.9648,1019.9529,0.2600,1017.6936,1020.1830,2.4894,1019.9908,1019.9530,1019.9529,0.2600,-0.0265,172.5093,-747.4096,594.4433,1341.8529,-2.2224,172.5093
hase2,BASELINE,60.0010,6.0151,1.1518,1.1301,15.5591,14.4290,5.9946,6.1244,978.5495,36.2645,919.7865,1021.4109,101.6245,982.0544,979.2212,978.5495,36.2645,0.1550,88.6977,-226.9471,491.8848,718.8318,2.1549,88.6978
hase2,TASK,75.3010,7.4660,2.0109,3.1326,23.5439,20.4113,6.8753,7.7321,902.0711,27.4179,854.8601,984.4364,129.5763,899.5507,902.4876,902.0711,27.4179,-0.0047,86.1858,-221.8253,480.1311,701.9565,1.5958,86.1858
hase2,PUZZLE,69.0010,6.9527,5.2343,1.7321,138.3788,136.6467,5.7800,8.7028,1018.9759,4.3563,989.5683,1020.4754,30.9071,1019.9909,1018.9852,1018.9759,4.3563,0.0048,95.4919,-516.4054,484.4447,1000.8501,2.2612,95.4919
hase2,CHASE,21.1010,7.2473,4.1640,2.6015,41.6318,39.0303,6.1132,8.3583,1019.9923,0.0030,1019.9878,1019.9966,0.0088,1019.9926,1019.9923,1019.9923,0.0030,0.5292,87.2219,-200.9895,448.5768,649.5663,0.8689,87.2235
ishikawa,BASELINE,60.0010,4.9582,1.0654,1.9534,10.9890,9.0356,4.8117,5.0714,1019.9921,0.0030,1019.9875,1019.9968,0.0092,1019.9922,1019.9921,1019.9921,0.0030,-0.0017,24.4320,-146.3839,55.0842,201.4680,-0.7206,24.4320
ishikawa,TASK,76.1010,5.5730,1.5639,1.7892,16.8099,15.0208,5.3154,5.7882,1019.9919,0.0030,1019.9875,1019.9966,0.0091,1019.9916,1019.9919,1019.9919,0.0030,-0.0021,47.4823,-409.3733,612.6972,1022.0705,-0.6548,47.4823
ishikawa,PUZZLE,143.1010,5.0394,1.5428,1.8959,23.7193,21.8234,4.7932,5.2703,1019.9917,0.0030,1019.9874,1019.9967,0.0094,1019.9914,1019.9917,1019.9917,0.0030,-0.0333,24.7628,-178.9942,76.6256,255.6198,0.0006,24.7628
ishikawa,CHASE,6.3010,3.8019,0.9808,1.4657,9.0387,7.5730,3.6169,3.9264,1019.9924,0.0029,1019.9880,1019.9962,0.0083,1019.9926,1019.9924,1019.9924,0.0029,-0.0723,22.8698,-135.3120,42.5928,177.9048,0.5491,22.8699
masaya,BASELINE,60.0010,2.6103,2.3517,0.6308,26.9560,26.3253,1.7643,3.5134,1019.9921,0.0030,1019.9875,1019.9968,0.0092,1019.9922,1019.9921,1019.9921,0.0030,-0.0160,28.0010,-87.8828,193.4789,281.3618,2.6277,28.0010
masaya,TASK,66.2010,2.2912,1.5574,0.6335,21.9142,21.2808,1.7822,2.7704,1019.9919,0.0030,1019.9875,1019.9967,0.0092,1019.9917,1019.9919,1019.9919,0.0030,0.0615,25.5038,-70.6870,158.5223,229.2093,2.2789,25.5039
masaya,PUZZLE,39.2000,2.9600,2.1287,0.4481,17.0978,16.6497,2.1860,3.6459,1019.9922,0.0030,1019.9875,1019.9966,0.0091,1019.9924,1019.9922,1019.9922,0.0030,-0.0099,25.7561,-65.5513,144.8092,210.3605,2.0846,25.7561
matsumoto,BASELINE,60.0010,7.4655,0.9470,3.8933,18.6759,14.7826,7.3140,7.5253,746.1455,15.1986,719.2750,783.8212,64.5462,747.7260,746.3003,746.1455,15.1986,-0.0981,58.7493,-118.4143,273.0437,391.4580,5.5382,58.7494
matsumoto,TASK,76.0010,8.0536,1.9351,3.2445,25.3661,22.1216,7.9184,8.2828,772.2834,43.8674,706.0411,848.3730,142.3318,764.8944,773.5282,772.2834,43.8674,0.0106,58.7582,-113.3668,243.5303,356.8972,5.2105,58.7582
matsumoto,PUZZLE,177.7010,9.1602,3.3813,3.1763,42.5102,39.3339,8.3861,9.7644,994.8323,34.3837,854.4253,1023.0524,168.6271,1010.4194,995.4263,994.8323,34.3837,0.1444,56.9346,-120.2320,325.6262,445.8582,4.9888,56.9348
matsumoto,CHASE,49.2010,6.6585,2.6010,2.9707,39.4134,36.4427,6.0772,7.1485,1009.5337,27.3308,904.2411,1022.6399,118.3989,1019.9889,1009.9036,1009.5337,27.3308,0.0631,53.2531,-114.7125,239.9644,354.6769,4.3114,53.2531
sensei,BASELINE,60.0010,7.3032,0.5477,4.0197,10.5740,6.5543,7.2952,7.3237,344.8086,8.4333,326.4607,357.9696,31.5090,343.7733,344.9117,344.8086,8.4333,-0.2336,66.5919,-147.3999,310.9111,458.3110,3.9328,66.5923
sensei,TASK,60.5010,7.1104,1.0406,2.9230,13.1373,10.2144,7.0483,7.1861,288.7643,5.1411,281.0056,299.3748,18.3692,287.7689,288.8101,288.7643,5.1411,0.0084,67.7282,-114.1833,295.8252,410.0086,5.1476,67.7282
sensei,PUZZLE,217.5010,10.1416,2.0538,4.0318,22.1546,18.1228,9.9233,10.3475,709.3206,289.0802,287.7479,1020.9620,733.2141,792.9050,765.9655,709.3206,289.0802,0.0495,65.7801,-286.3658,539.4307,825.7965,4.6595,65.7801
sensei,CHASE,9.8010,10.8248,1.3773,4.8455,16.5145,11.6689,10.7444,10.9121,1019.9930,0.0028,1019.9879,1019.9963,0.0085,1019.9938,1019.9930,1019.9930,0.0028,0.3833,65.2791,-103.3613,268.2448,371.6061,3.8885,65.2802
takamiya,BASELINE,60.0010,3.9152,5.5471,0.5003,68.4144,67.9141,1.9865,6.7896,744.4454,65.1620,595.6817,851.3349,255.6532,766.8294,747.2918,744.4454,65.1620,0.0041,28.7765,-320.6310,312.1794,632.8104,0.3167,28.7765
takamiya,TASK,77.0010,1.9115,3.6018,0.4694,63.1640,62.6946,1.1121,4.0775,724.1748,101.8173,541.8163,912.8551,371.0388,742.0312,731.2974,724.1748,101.8173,0.0056,19.4080,-126.1691,233.0279,359.1969,0.0912,19.4080
takamiya,PUZZLE,170.0010,5.7980,10.2363,0.2645,173.9413,173.6768,2.6041,11.7643,1007.3652,36.1537,761.8718,1026.6118,264.7400,1019.9886,1008.0138,1007.3652,36.1537,0.0039,15.7477,-107.2829,40.7990,148.0819,0.5819,15.7477
takamiya,CHASE,16.0010,4.2454,4.5861,0.5168,34.0256,33.5088,2.5150,6.2494,1014.5268,16.9479,947.9509,1026.0614,78.1105,1019.9892,1014.6683,1014.5268,16.9479,0.0420,14.7535,-77.8149,29.4151,107.2300,-0.1055,14.7535
takamiya2,BASELINE,60.0010,1.2291,1.4041,0.4017,22.4610,22.0593,0.8421,1.8661,876.3347,98.1858,699.6076,1016.3603,316.7527,865.3332,881.8180,876.3347,98.1858,-0.0084,15.1056,-120.5370,157.3669,277.9040,-0.6467,15.1056
takamiya2,TASK,76.3010,1.8455,2.8876,0.4061,66.2464,65.8404,1.3754,3.4270,688.1387,22.2270,641.9639,744.7046,102.7407,687.0178,688.4976,688.1387,22.2270,0.0019,7.4313,-46.7675,61.5977,108.3652,-0.3758,7.4313
takamiya2,PUZZLE,110.8010,4.1454,6.3330,0.4735,97.4350,96.9615,2.2634,7.5690,937.1289,87.2107,701.7102,1025.4112,323.7011,981.2265,941.1781,937.1289,87.2107,0.0086,8.3586,-52.7147,85.7524,138.4672,-0.5467,8.3586
takamiya2,CHASE,25.8010,19.5937,24.8553,0.9084,277.7625,276.8541,11.7464,31.6496,1009.8892,22.5914,925.6645,1026.4975,100.8330,1019.9893,1010.1418,1009.8892,22.5914,-0.0701,16.3640,-141.1847,286.5923,427.7770,-0.1652,16.3641
