feature,feature_label,phase,phase_label,absolute_mean,absolute_std,baseline_mean,normalized_change_percent,normalized_std_percent,n
ECG_heart_rate_bpm,"平均心拍数 (HR, bpm)",BASELINE,Phase 0,73.0228,11.6502,73.0228,0.0,0.0,8
ECG_heart_rate_bpm,"平均心拍数 (HR, bpm)",TASK,Phase 1,74.1545,9.5439,73.0228,1.5497899286250254,13.069753556423473,8
ECG_heart_rate_bpm,"平均心拍数 (HR, bpm)",PUZZLE,Phase 2,76.5168,8.1103,73.0228,4.784806937011454,11.106531110831138,8
ECG_heart_rate_bpm,"平均心拍数 (HR, bpm)",CHASE,Phase 3,72.1615,20.2336,73.0228,-1.1794946235970134,27.70860607919718,7
ECG_hrv_rmssd_ms,RMSSD (ms),BASELINE,Phase 0,143.3352,284.5094,143.3352,0.0,0.0,8
ECG_hrv_rmssd_ms,RMSSD (ms),TASK,Phase 1,51.4198,32.7146,143.3352,-64.12618812406163,22.823842294146868,8
ECG_hrv_rmssd_ms,RMSSD (ms),PUZZLE,Phase 2,67.0383,53.0325,143.3352,-53.22970212480953,36.99893675803292,8
ECG_hrv_rmssd_ms,RMSSD (ms),CHASE,Phase 3,742.367,1775.9077,143.3352,417.9237200631806,1238.9892364192467,7
ECG_hrv_sdnn_ms,SDNN (ms),BASELINE,Phase 0,126.0101,193.2413,126.0101,0.0,0.0,8
ECG_hrv_sdnn_ms,SDNN (ms),TASK,Phase 1,54.8646,32.5573,126.0101,-56.46015676521168,25.837055918533512,8
ECG_hrv_sdnn_ms,SDNN (ms),PUZZLE,Phase 2,68.3013,35.4013,126.0101,-45.79696389416404,28.094017860473087,8
ECG_hrv_sdnn_ms,SDNN (ms),CHASE,Phase 3,459.4508,1051.4347,126.0101,264.61426504700813,834.4050992737884,7
ECG_lf_hf_ratio,LF/HF比,BASELINE,Phase 0,1.7237,1.0994,1.7237,0.0,0.0,8
ECG_lf_hf_ratio,LF/HF比,TASK,Phase 1,2.3664,1.9498,1.7237,37.28607066194814,113.11713175146487,8
ECG_lf_hf_ratio,LF/HF比,PUZZLE,Phase 2,1.8749,1.2603,1.7237,8.771828044323259,73.11597145675002,8
ECG_lf_hf_ratio,LF/HF比,CHASE,Phase 3,1.5833,2.4996,1.7237,-8.145268898300174,145.01363346289958,7
