EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
528,8.636905178717138,1020,1019.9950210830501,447,-25.723506686199844,0.0
527,8.943654496065147,1020,1019.995012887135,449,-23.722794788403412,0.001
525,9.118931693146902,1020,1019.9950046793423,453,-21.768256374139263,0.002
524,9.330516535232768,1020,1019.9949964596952,456,-19.912933351560458,0.003
519,9.447717362734556,1020,1019.9949882282175,459,-18.20330633930031,0.004
514,9.540706480770515,1020,1019.9949799849327,461,-16.676399663046876,0.005
514,9.555396538149584,1020,1019.994971729864,463,-15.357593910877107,0.006
512,9.630608321656212,1020,1019.9949634630351,465,-14.259310341208458,0.007
511,9.857155548644517,1020,1019.9949551844696,466,-13.380669118979966,0.008
507,10.077693655511462,1020,1019.9949468941908,465,-12.708149190831174,0.009
508,10.391208297707626,1020,1019.9949385922217,464,-12.217195330746067,0.01
504,10.920469155954475,1020,1019.9949302785861,463,-11.874633146576734,0.011
504,11.51828930388635,1020,1019.9949219533077,460,-11.641674296374886,0.012
509,11.858571691515747,1020,1019.9949136164099,457,-11.477231855930281,0.013
514,11.860912360539054,1020,1019.9949052679161,455,-11.341228919023171,0.014
558,11.98895903726103,1020,1019.9948969078495,454,-11.197579970014107,0.015
568,12.25924556302184,1020,1019.9948885362336,455,-11.016559730078873,0.016
548,12.736356978745377,1020,1019.9948801530926,457,-10.776347546251426,0.017
518,13.054747537419557,1020,1019.994871758451,460,-10.463638117149651,0.018
487,13.2221903325338,1020,1019.9948633523335,464,-10.073325639735796,0.019
455,13.403825233933603,1020,1019.9948549347645,467,-9.60737970147446,0.02
424,13.502374499358648,1020,1019.994846505769,468,-9.07312039614468,0.021
471,13.62148441620533,1020,1019.9948380653722,471,-8.48115561342927,0.022
490,13.912265501907497,1020,1019.9948296135984,473,-7.843261625040645,0.023
509,14.134564381176682,1020,1019.9948211504728,475,-7.170472253474372,0.024
521,14.23647569307325,1020,1019.9948126760204,475,-6.471597652114958,0.025
518,14.249254219040598,1020,1019.9948041902661,475,-5.752325862613518,0.026
517,14.383975629879043,1020,1019.994795693235,473,-5.014974596827607,0.027
515,14.592363791524818,1020,1019.9947871849521,472,-4.258866641120652,0.028
512,14.71065638877706,1020,1019.9947786654433,470,-3.4812128153017396,0.029
510,14.735436562703885,1020,1019.994770134735,468,-2.6783147518739105,0.03
512,14.646648412064946,1020,1019.9947615928535,467,-1.8468564966789243,0.031
