EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
534,6.7890884504341775,905,904.2802835642746,472,-24.806039125035944,0.0
524,6.988031320846508,904,904.2794668490959,468,-27.692162272287213,0.001
534,7.36789031509011,904,904.2786583477244,463,-30.485453455014692,0.002
536,7.513894716869412,904,904.2778580739249,456,-33.082596326708874,0.003
515,7.801683060750803,903,904.2770660413993,449,-35.394577639692805,0.004
489,8.13417738316773,903,904.2762822637864,445,-37.352662848783325,0.005
499,8.19140671152186,904,904.2755067546622,441,-38.91263571381368,0.006
521,8.293507285329458,904,904.274739527539,441,-40.05692487503349,0.007
518,8.37076848663491,904,904.2739805958662,444,-40.794423940177296,0.008
512,8.528376392844432,904,904.2732299730291,449,-41.15803298500009,0.009
505,8.543097110662186,904,904.2724876723495,457,-41.20018474053072,0.01
507,8.56959064151789,904,904.2717537070852,463,-40.986836889508204,0.011
513,8.661594403893137,905,904.2710280904297,469,-40.59057983962,0.012
489,8.770783482553982,905,904.2703108355121,472,-40.08360019298603,0.013
480,8.941982732481186,904,904.2696019553968,475,-39.53124025599102,0.014
490,9.086167168738633,904,904.2689014630831,475,-38.98680560157679,0.015
503,9.112301794096162,904,904.2682093715051,474,-38.488111040744,0.016
515,9.234003015976471,904,904.2675256935307,472,-38.05604265508798,0.017
520,9.51307397953501,904,904.2668504419624,467,-37.69517469492911,0.018
525,9.841421702357941,903,904.2661836295368,461,-37.39624047318349,0.019
526,9.968745530607148,903,904.2655252689241,454,-37.14004100902819,0.02
528,10.01342059789087,903,904.2648753727284,448,-36.902209043910766,0.021
535,10.202205007346183,903,904.2642339534881,444,-36.65815229671356,0.022
536,10.340254454738908,903,904.2636010236746,442,-36.387495057669526,0.023
518,10.408727603911808,904,904.2629765956925,444,-36.07742600241218,0.024
499,10.581229713567545,904,904.2623606818796,448,-35.72453206266489,0.025
487,10.800400614546339,904,904.2617532945059,455,-35.33492884322435,0.026
502,11.01964872037378,905,904.261154445774,463,-34.92275253011564,0.027
492,11.16701069580417,905,904.2605641478184,469,-34.507316867685425,0.028
493,11.032810838444005,904,904.2599824127059,474,-34.10942451921209,0.029
510,10.83330943930955,904,904.2594092524349,478,-33.7474282895886,0.03
515,10.170946468577812,905,904.2588446789354,480,-33.433653455725754,0.031
512,10.013825125016062,904,904.2582887040688,480,-33.1717225575059,0.032
518,10.655014059223497,904,904.2577413396283,478,-32.95518377623701,0.033
510,11.114087674837608,904,904.2572025973376,476,-32.7676546918147,0.034
509,11.14383515580001,903,904.2566724888514,471,-32.58447936803574,0.035
515,10.950958376409373,903,904.2561510257545,464,-32.37568414325358,0.036
516,10.876215408840165,903,904.255638219562,458,-32.10983135980481,0.037
520,10.87585637797212,903,904.2551340817189,453,-31.758234829816427,0.038
518,10.552965934756855,903,904.2546386236003,451,-31.2989378796955,0.039
511,10.05685840588848,903,904.2541518565102,450,-30.719877853771344,0.04
505,9.735787471075144,903,904.2536737916824,452,-30.020769315077263,0.041
499,9.690048406960951,904,904.2532044402795,458,-29.21341655275895,0.042
495,9.740466277835845,904,904.2527438133933,465,-28.320388503602953,0.043
507,9.653889376122322,904,904.2522919220445,472,-27.37222324855797,0.044
514,9.568898622818306,905,904.2518487771825,479,-26.403539222069288,0.045
523,9.356487608579226,904,904.251414389685,484,-25.448583814008337,0.046
519,9.015096482139931,904,904.2509887703576,488,-24.536825568648666,0.047
517,8.52438095945529,904,904.2505719299332,491,-23.68918649122176,0.048
521,8.011450530090976,904,904.2501638790726,491,-22.915421590301264,0.049
525,7.932802179321115,904,904.249764628364,489,-22.212998077981347,0.05
531,7.91501645078672,904,904.2493741883226,487,-21.567626802548844,0.051
525,7.6571675532837755,903,904.2489925693907,482,-20.95537790605141,0.052
511,7.613405871505758,903,904.2486197819379,475,-20.346098071685425,0.053
512,7.463176814903798,903,904.2482558362611,468,-19.70766461970039,0.054
511,7.134493516529846,903,904.2479007425835,465,-19.010487444065948,0.055
497,7.178700438193937,903,904.247554511055,462,-18.231625460923365,0.056
480,7.1939227329362545,903,904.2472171517519,463,-17.357932488266528,0.057
488,7.134842562406574,903,904.2468886746773,467,-16.387784821604036,0.058
506,7.03566559476512,904,904.2465690897606,474,-15.331149279745391,0.059
514,7.268311288523777,904,904.2462584068566,483,-14.207994384266925,0.06
516,7.453484616910277,904,904.2459566357455,489,-13.045289963850802,0.061
513,7.367333423716107,904,904.2456637861327,496,-11.873042526877276,0.062
519,7.554140371171394,904,904.2453798676482,501,-10.71994417997039,0.063
519,7.622629921591378,904,904.2451048898469,505,-9.609256127894717,0.064
516,7.515908900637357,904,904.2448388622073,506,-8.555503977198306,0.065
507,7.545706146295663,904,904.2445817941328,506,-7.562442165128182,0.066
503,7.490499202001695,903,904.2443336949513,505,-6.622566845035006,0.067
519,7.286828942645069,903,904.2440945739144,500,-5.718243576424576,0.068
523,7.0308154620779115,903,904.2438644401981,495,-4.824294188331408,0.069
520,7.065901167157428,902,904.2436433029028,489,-3.911683207836166,0.07
513,7.1341787369264384,903,904.2434311710521,484,-2.951785313896422,0.071
516,7.204273524365835,903,904.243228053593,481,-1.9206258025148801,0.072
512,7.340139836891811,903,904.2430339593965,480,-0.8024824862793047,0.073
504,7.4270385193257615,903,904.2428488972563,483,0.4076764465433895,0.074
501,7.42032873670081,903,904.2426728758891,487,1.7032788781881882,0.075
506,7.436964918397925,903,904.2425059039346,496,3.066899034431434,0.076
515,7.134803735719068,903,904.2423479899547,504,4.472568041867717,0.077
519,6.950001843827112,903,904.2421991424343,511,5.889313759824729,0.078
510,6.968849811263732,903,904.2420593697801,518,7.285423099930432,0.079
507,7.061437938762205,903,904.2419286803214,522,8.632822464399561,0.08
504,7.054596162684606,904,904.2418070823086,525,9.910963787093639,0.081
511,6.787509275233707,903,904.241694583914,525,11.109680800378985,0.082
513,6.161514169864392,903,904.2415911932311,525,12.23062694162577,0.083
524,5.751281565379113,903,904.241496918275,523,13.287100023016018,0.084
521,5.867673379403944,902,904.2414117669808,519,14.302273730907821,0.085
511,6.126381569816527,902,904.241335747205,514,15.306067038061277,0.086
496,6.303779730927175,902,904.241268866724,508,16.33106612970011,0.087
499,6.57872997328057,902,904.241211133235,504,17.408046822681417,0.088
513,6.5710805460278205,902,904.2411625543558,501,18.561708232229297,0.089
508,6.512686888257198,902,904.2411231376249,502,19.807206935687965,0.09
508,6.614513447387179,902,904.2410928905005,505,21.147973532267216,0.091
507,6.827371376876421,902,904.2410718203608,511,22.575113460938837,0.092
