EMG_raw,EMG_processed,EDA_raw,EDA_processed,ECG_raw,ECG_processed,time_sec
515,2.2782771814116556,1016,1012.4676974558594,505,-1.5394110619461059,0.0
510,2.402822967036185,1016,1012.4625735838496,505,-1.4889721192258667,0.001
511,2.497997055386014,1017,1012.457460980737,505,-1.4406433678705703,0.002
514,2.5786487833909835,1016,1012.4523596975197,505,-1.3972716421430267,0.003
511,2.6359879348578272,1017,1012.4472697851639,507,-1.360939612244652,0.004
505,2.6941863067857708,1017,1012.4421912946033,507,-1.332674358367724,0.005
498,2.7133785908508905,1017,1012.4371242767376,507,-1.3122712703417694,0.006
499,2.7360615360779343,1016,1012.4320687824321,506,-1.2982587480601322,0.007
504,2.7554872033583133,1017,1012.4270248625172,505,-1.288012496120835,0.008
519,2.777803384165266,1017,1012.4219925677872,505,-1.2780075564068603,0.009
527,2.8161553721703125,1017,1012.4169719490002,505,-1.2641777274820833,0.01
519,2.85743028439576,1016,1012.4119630568781,505,-1.2423405203275777,0.011
518,2.8747645639061856,1016,1012.4069659421062,505,-1.2086421440079285,0.012
516,2.8948805700052986,1017,1012.4019806553321,505,-1.1599788846749204,0.013
515,2.911133134135599,1017,1012.3970072471649,505,-1.094355871029321,0.014
517,2.9303133243838415,1016,1012.3920457681749,505,-1.011150113189581,0.015
513,2.9350887879689846,1016,1012.3870962688926,504,-0.9112515803717807,0.016
514,2.953632881609179,1017,1012.3821587998092,505,-0.7970644052266475,0.017
511,2.9881767351160673,1016,1012.3772334113756,505,-0.6723610146524374,0.018
510,2.9900414052789515,1017,1012.3723201540016,505,-0.5419957334369081,0.019
509,3.004532150826888,1017,1012.3674190780549,507,-0.4115003944140709,0.02
512,3.0666116847627958,1016,1012.3625302338615,507,-0.2866003514184901,0.021
511,3.131459620035111,1016,1012.3576536717047,508,-0.17270184987184706,0.022
512,3.1334533885402553,1016,1012.3527894418249,508,-0.07440773837831573,0.023
508,3.137055405666521,1017,1012.347937594419,508,0.004884086221989924,0.024
505,3.195619562488428,1017,1012.3430981796397,508,0.06325603005392846,0.025
506,3.2070037882308045,1017,1012.3382712475938,508,0.1003932986389097,0.026
507,3.1581816813675525,1016,1012.333456848343,507,0.11754649318386846,0.027
508,3.095150405610183,1016,1012.3286550319027,506,0.11734686542042606,0.028
508,3.1154454227154704,1017,1012.3238658482411,507,0.1035037484903226,0.029
510,3.1635162538465664,1017,1012.3190893472789,507,0.080425373024541,0.03
512,3.153916057069026,1017,1012.3143255788888,506,0.05280950327240785,0.031
512,2.9925818903324046,1017,1012.3095745928941,505,0.025250472547655275,0.032
512,2.872922799157939,1016,1012.3048364390694,505,0.001906153627314541,0.033
513,2.86161397059942,1016,1012.3001111671393,505,-0.013738499154977034,0.034
513,2.8050893141774673,1016,1012.2953988267778,506,-0.0189878025662559,0.035
512,2.6464520439328285,1017,1012.2906994676083,507,-0.011927513526233344,0.036
512,2.7503421324224506,1016,1012.2860131392027,508,0.008689274421852657,0.037
512,2.821580686124123,1017,1012.2813398910813,508,0.04362608261551851,0.038
512,3.0009180796071897,1016,1012.2766797727123,508,0.09337057037470954,0.039
511,3.1222696797045364,1016,1012.2720328335109,508,0.15832015916027475,0.04
512,3.03326229682366,1016,1012.2673991228386,508,0.23890996682918222,0.041
513,3.0088612931575334,1016,1012.2627786900017,508,0.3356619097366371,0.042
511,3.0036937271242476,1016,1012.2581715842513,507,0.449149854417851,0.043
512,3.070458057324822,1016,1012.2535778547827,507,0.5798907203882498,0.044
508,3.087188972144512,1016,1012.2489975507357,507,0.728183481189809,0.045
508,3.0630436622563466,1016,1012.2444307211932,507,0.8939250648956101,0.046
511,3.0609946344556382,1016,1012.2398774151808,508,1.0764331623388987,0.047
511,3.121113123733662,1016,1012.2353376816656,508,1.274301880510885,0.048
514,3.2130242529545634,1016,1012.2308115695556,508,1.4853096109686115,0.049
512,3.184172202343813,1016,1012.2262991276995,508,1.706392019265801,0.05
509,3.081046707975676,1016,1012.2218004048865,508,1.9336877311026217,0.051
511,3.026562567379624,1016,1012.2173154498452,508,2.162659146506957,0.052
512,2.9662447376317864,1016,1012.212844311243,509,2.388284119352325,0.053
516,2.9255564059808905,1016,1012.2083870376865,510,2.605305194344955,0.054
