unix_time, readable_time, sample_index, label
1769659099.709646,2026-01-29 12:58:19.709,0,﻿
1769659099.957334,2026-01-29 12:58:19.957,0,START
1769659102.938659,2026-01-29 12:58:22.938,2500,User_ID_hase
1769659102.953659,2026-01-29 12:58:22.953,2500,Play_Session_1

1769659102.953659,2026-01-29 12:58:22.953,2500,START

1769659102.948474,2026-01-29 12:58:22.948,2500,PHASE0_BASELINE_START
1769659162.948474,2026-01-29 12:59:22.948,62500,PHASE0_BASELINE_END
1769659163.128472,2026-01-29 12:59:23.128,62700,PHASE1_SCENE_START
1769659175.533770,2026-01-29 12:59:35.533,75100,PHASE1_TASK_START
1769659179.040337,2026-01-29 12:59:39.040,78600,P1_TRIAL_ONSET_GO
1769659179.817873,2026-01-29 12:59:39.817,79400,P1_HIT_CORRECT
1769659181.320979,2026-01-29 12:59:41.320,80800,P1_TRIAL_ONSET_GO
1769659182.333583,2026-01-29 12:59:42.333,81900,P1_NO_RESPONSE
1769659183.826757,2026-01-29 12:59:43.826,83400,P1_TRIAL_ONSET_GO
1769659184.828897,2026-01-29 12:59:44.828,84400,P1_NO_RESPONSE
1769659186.338037,2026-01-29 12:59:46.338,85900,P1_TRIAL_ONSET_GO
1769659187.352587,2026-01-29 12:59:47.352,86900,P1_NO_RESPONSE
1769659188.838802,2026-01-29 12:59:48.838,88400,P1_TRIAL_ONSET_GO
1769659189.462402,2026-01-29 12:59:49.462,89000,P1_HIT_CORRECT
1769659190.963036,2026-01-29 12:59:50.963,90500,P1_TRIAL_ONSET_GO
1769659191.967688,2026-01-29 12:59:51.967,91500,P1_NO_RESPONSE
1769659193.475419,2026-01-29 12:59:53.475,93000,P1_TRIAL_ONSET_GO
1769659194.500984,2026-01-29 12:59:54.500,94100,P1_NO_RESPONSE
1769659195.983155,2026-01-29 12:59:55.983,95500,P1_TRIAL_ONSET_GO
1769659196.537196,2026-01-29 12:59:56.537,96100,P1_HIT_CORRECT
1769659198.041115,2026-01-29 12:59:58.041,97600,P1_TRIAL_ONSET_GO
1769659198.668140,2026-01-29 12:59:58.668,98200,P1_HIT_CORRECT
1769659200.189836,2026-01-29 13:00:00.189,99800,P1_TRIAL_ONSET_GO
1769659201.175362,2026-01-29 13:00:01.175,100700,P1_NO_RESPONSE
1769659202.695382,2026-01-29 13:00:02.695,102300,P1_TRIAL_ONSET_GO
1769659203.194381,2026-01-29 13:00:03.194,102700,P1_HIT_CORRECT
1769659204.697294,2026-01-29 13:00:04.697,104300,P1_TRIAL_ONSET_GO
1769659205.429659,2026-01-29 13:00:05.429,105000,P1_HIT_CORRECT
1769659206.948966,2026-01-29 13:00:06.948,106500,P1_TRIAL_ONSET_GO
1769659207.685598,2026-01-29 13:00:07.685,107300,P1_HIT_CORRECT
1769659209.194117,2026-01-29 13:00:09.194,108800,P1_TRIAL_ONSET_NOGO
1769659210.197169,2026-01-29 13:00:10.197,109700,P1_NO_RESPONSE
