unix_time, readable_time, sample_index, label
1769663384.284999,2026-01-29 14:09:44.284,0,﻿
1769663384.519864,2026-01-29 14:09:44.519,0,START
1769663389.188987,2026-01-29 14:09:49.188,4600,User_ID_matsumoto
1769663389.194989,2026-01-29 14:09:49.194,4600,Play_Session_1

1769663389.194989,2026-01-29 14:09:49.194,4600,START

1769663389.179137,2026-01-29 14:09:49.179,4600,PHASE0_BASELINE_START
1769663449.179137,2026-01-29 14:10:49.179,64600,PHASE0_BASELINE_END
1769663449.352138,2026-01-29 14:10:49.352,64700,PHASE1_SCENE_START
1769663456.044852,2026-01-29 14:10:56.044,71400,PHASE1_TASK_START
1769663459.560794,2026-01-29 14:10:59.560,74900,P1_TRIAL_ONSET_GO
1769663460.558870,2026-01-29 14:11:00.558,76000,P1_NO_RESPONSE
1769663462.066977,2026-01-29 14:11:02.066,77500,P1_TRIAL_ONSET_GO
1769663463.068373,2026-01-29 14:11:03.068,78500,P1_NO_RESPONSE
1769663464.566667,2026-01-29 14:11:04.566,80000,P1_TRIAL_ONSET_GO
1769663465.332837,2026-01-29 14:11:05.332,80700,P1_HIT_CORRECT
1769663466.837528,2026-01-29 14:11:06.837,82200,P1_TRIAL_ONSET_NOGO
1769663467.836856,2026-01-29 14:11:07.836,83200,P1_NO_RESPONSE
1769663469.353011,2026-01-29 14:11:09.353,84800,P1_TRIAL_ONSET_GO
1769663470.352274,2026-01-29 14:11:10.352,85800,P1_NO_RESPONSE
1769663471.862147,2026-01-29 14:11:11.862,87300,P1_TRIAL_ONSET_GO
1769663472.864372,2026-01-29 14:11:12.864,88300,P1_NO_RESPONSE
1769663474.452777,2026-01-29 14:11:14.452,89800,P1_TRIAL_ONSET_GO
1769663475.385029,2026-01-29 14:11:15.385,90700,P1_NO_RESPONSE
1769663476.875748,2026-01-29 14:11:16.875,92300,P1_TRIAL_ONSET_GO
1769663477.879342,2026-01-29 14:11:17.879,93300,P1_NO_RESPONSE
1769663479.389987,2026-01-29 14:11:19.389,94800,P1_TRIAL_ONSET_GO
1769663480.257099,2026-01-29 14:11:20.257,95700,P1_HIT_CORRECT
1769663481.763451,2026-01-29 14:11:21.763,97200,P1_TRIAL_ONSET_NOGO
1769663482.775562,2026-01-29 14:11:22.775,98200,P1_NO_RESPONSE
1769663484.267012,2026-01-29 14:11:24.267,99700,P1_TRIAL_ONSET_NOGO
1769663485.271328,2026-01-29 14:11:25.271,100700,P1_NO_RESPONSE
1769663486.775994,2026-01-29 14:11:26.775,102100,P1_TRIAL_ONSET_NOGO
1769663487.804374,2026-01-29 14:11:27.804,103200,P1_NO_RESPONSE
1769663489.279178,2026-01-29 14:11:29.279,104700,P1_TRIAL_ONSET_GO
1769663490.283660,2026-01-29 14:11:30.283,105700,P1_NO_RESPONSE
1769663491.785151,2026-01-29 14:11:31.785,107200,P1_TRIAL_ONSET_GO
1769663492.797657,2026-01-29 14:11:32.797,108200,P1_NO_RESPONSE
1769663494.309713,2026-01-29 14:11:34.309,109700,P1_TRIAL_ONSET_GO
1769663495.305118,2026-01-29 14:11:35.305,110700,P1_NO_RESPONSE
1769663496.815247,2026-01-29 14:11:36.815,112200,P1_TRIAL_ONSET_GO
1769663497.637869,2026-01-29 14:11:37.637,113000,P1_HIT_CORRECT
1769663499.137297,2026-01-29 14:11:39.137,114500,P1_TRIAL_ONSET_NOGO
1769663500.153500,2026-01-29 14:11:40.153,115600,P1_NO_RESPONSE
1769663501.651062,2026-01-29 14:11:41.651,117100,P1_TRIAL_ONSET_NOGO
1769663502.643481,2026-01-29 14:11:42.643,118000,P1_NO_RESPONSE
1769663504.148630,2026-01-29 14:11:44.148,119500,P1_TRIAL_ONSET_GO
1769663505.168216,2026-01-29 14:11:45.168,120500,P1_NO_RESPONSE
1769663506.652976,2026-01-29 14:11:46.652,122100,P1_TRIAL_ONSET_NOGO
1769663507.661434,2026-01-29 14:11:47.661,123100,P1_NO_RESPONSE
1769663509.161014,2026-01-29 14:11:49.161,124500,P1_TRIAL_ONSET_GO
1769663509.915610,2026-01-29 14:11:49.915,125300,P1_HIT_CORRECT
1769663511.423788,2026-01-29 14:11:51.423,126800,P1_TRIAL_ONSET_GO
1769663512.460136,2026-01-29 14:11:52.460,127800,P1_NO_RESPONSE
1769663513.920359,2026-01-29 14:11:53.920,129300,P1_TRIAL_ONSET_GO
1769663514.935811,2026-01-29 14:11:54.935,130300,P1_NO_RESPONSE
1769663516.426442,2026-01-29 14:11:56.426,131800,P1_TRIAL_ONSET_GO
1769663517.278069,2026-01-29 14:11:57.278,132700,P1_HIT_CORRECT
1769663518.781929,2026-01-29 14:11:58.781,134200,P1_TRIAL_ONSET_GO
1769663519.788636,2026-01-29 14:11:59.788,135200,P1_NO_RESPONSE
1769663521.291783,2026-01-29 14:12:01.291,136700,P1_TRIAL_ONSET_GO
1769663522.106310,2026-01-29 14:12:02.106,137500,P1_HIT_CORRECT
1769663523.610869,2026-01-29 14:12:03.610,139000,P1_TRIAL_ONSET_GO
1769663524.610462,2026-01-29 14:12:04.610,140000,P1_NO_RESPONSE
1769663526.125332,2026-01-29 14:12:06.125,141500,P1_TRIAL_ONSET_NOGO
1769663527.119867,2026-01-29 14:12:07.119,142500,P1_NO_RESPONSE
1769663528.630971,2026-01-29 14:12:08.630,144000,P1_TRIAL_ONSET_GO
1769663529.626209,2026-01-29 14:12:09.626,145000,P1_NO_RESPONSE
1769663531.129347,2026-01-29 14:12:11.129,146500,P1_TRIAL_ONSET_NOGO
1769663532.131976,2026-01-29 14:12:12.131,147500,P1_NO_RESPONSE
1769663532.150939,2026-01-29 14:12:12.150,147500,P1_ACC_50

1769663532.150939,2026-01-29 14:12:12.150,147500,PHASE1_TASK_END
1769663556.624240,2026-01-29 14:12:36.624,172000,PHASE2_SCENE_START
1769663556.632239,2026-01-29 14:12:36.632,172000,PHASE2_PLAY_1
1769663562.345783,2026-01-29 14:12:42.345,177800,P2_PIECE_1
1769663576.086620,2026-01-29 14:12:56.086,191500,P2_ZOMBIE_DOOR
1769663576.164621,2026-01-29 14:12:56.164,191600,DOOR_OPEN
1769663588.313601,2026-01-29 14:13:08.313,203700,DOOR_OPEN
1769663598.280969,2026-01-29 14:13:18.280,213700,DOOR_OPEN
1769663602.052620,2026-01-29 14:13:22.052,217500,P2_PIECE_2
1769663615.545289,2026-01-29 14:13:35.545,230900,DOOR_OPEN
1769663671.506913,2026-01-29 14:14:31.506,286900,DOOR_OPEN
1769663674.199344,2026-01-29 14:14:34.199,289600,P2_PIECE_3
1769663679.338109,2026-01-29 14:14:39.338,294700,DOOR_OPEN
1769663696.156012,2026-01-29 14:14:56.156,311600,DOOR_OPEN
1769663699.718616,2026-01-29 14:14:59.718,315100,P2_PIECE_4
1769663699.730576,2026-01-29 14:14:59.730,315100,PHASE3_START

1769663699.730576,2026-01-29 14:14:59.730,315100,CHASE_START
1769663700.527002,2026-01-29 14:15:00.527,315900,P3_ZOMBIE_LOOK_1
1769663704.194570,2026-01-29 14:15:04.194,319600,DOOR_OPEN
1769663706.006633,2026-01-29 14:15:06.006,321400,EXPERIMENT_END
1769663706.018628,2026-01-29 14:15:06.018,321400,STOP
