unix_time, readable_time, sample_index, label
1769660443.875867,2026-01-29 13:20:43.875,0,﻿
1769660444.112588,2026-01-29 13:20:44.112,0,START
1769660459.007697,2026-01-29 13:20:59.007,14800,User_ID_matsumoto
1769660459.025659,2026-01-29 13:20:59.025,14800,Play_Session_1

1769660459.025659,2026-01-29 13:20:59.025,14800,START

1769660459.007931,2026-01-29 13:20:59.007,14800,PHASE0_BASELINE_START
1769660519.007931,2026-01-29 13:21:59.007,74800,PHASE0_BASELINE_END
1769660519.181931,2026-01-29 13:21:59.181,75000,PHASE1_SCENE_START
1769660530.564279,2026-01-29 13:22:10.564,86400,PHASE1_TASK_START
1769660534.096801,2026-01-29 13:22:14.096,89900,P1_TRIAL_ONSET_GO
1769660535.074373,2026-01-29 13:22:15.074,90900,P1_NO_RESPONSE
1769660536.577150,2026-01-29 13:22:16.577,92300,P1_TRIAL_ONSET_NOGO
1769660537.587734,2026-01-29 13:22:17.587,93400,P1_NO_RESPONSE
1769660539.084827,2026-01-29 13:22:19.084,94900,P1_TRIAL_ONSET_GO
1769660540.045303,2026-01-29 13:22:20.045,95900,P1_HIT_CORRECT
1769660541.555958,2026-01-29 13:22:21.555,97400,P1_TRIAL_ONSET_NOGO
1769660542.550508,2026-01-29 13:22:22.550,98400,P1_NO_RESPONSE
1769660544.052536,2026-01-29 13:22:24.052,99900,P1_TRIAL_ONSET_NOGO
1769660545.059108,2026-01-29 13:22:25.059,100900,P1_NO_RESPONSE
1769660546.563123,2026-01-29 13:22:26.563,102400,P1_TRIAL_ONSET_GO
1769660547.324689,2026-01-29 13:22:27.324,103100,P1_HIT_CORRECT
1769660548.830151,2026-01-29 13:22:28.830,104600,P1_TRIAL_ONSET_GO
1769660549.720682,2026-01-29 13:22:29.720,105500,P1_HIT_CORRECT
1769660551.237422,2026-01-29 13:22:31.237,107000,P1_TRIAL_ONSET_NOGO
1769660552.225957,2026-01-29 13:22:32.225,108000,P1_NO_RESPONSE
1769660553.736045,2026-01-29 13:22:33.736,109600,P1_TRIAL_ONSET_NOGO
1769660554.751307,2026-01-29 13:22:34.751,110600,P1_NO_RESPONSE
