unix_time, readable_time, sample_index, label
1769655668.914202,2026-01-29 12:01:08.914,0,﻿
1769655669.15443,2026-01-29 12:01:09.154,0,START
1769655683.588153,2026-01-29 12:01:23.588,13700,User_ID_SENSEI
1769655683.607156,2026-01-29 12:01:23.607,13700,Play_Session_1

1769655683.607156,2026-01-29 12:01:23.607,13700,START

1769655683.594655,2026-01-29 12:01:23.594,13700,PHASE0_BASELINE_START
1769655743.594655,2026-01-29 12:02:23.594,73700,PHASE0_BASELINE_END
1769655743.755606,2026-01-29 12:02:23.755,73900,PHASE1_SCENE_START
1769655756.784954,2026-01-29 12:02:36.784,86900,PHASE1_TASK_START
1769655759.789195,2026-01-29 12:02:39.789,89900,P1_TRIAL_ONSET_GO
1769655760.787228,2026-01-29 12:02:40.787,90900,P1_NO_RESPONSE
1769655761.791786,2026-01-29 12:02:41.791,91900,P1_TRIAL_ONSET_NOGO
1769655762.791184,2026-01-29 12:02:42.791,92900,P1_NO_RESPONSE
1769655763.807570,2026-01-29 12:02:43.807,93900,P1_TRIAL_ONSET_GO
1769655764.823106,2026-01-29 12:02:44.823,95000,P1_NO_RESPONSE
1769655765.800279,2026-01-29 12:02:45.800,95900,P1_TRIAL_ONSET_GO
1769655766.798896,2026-01-29 12:02:46.798,96900,P1_NO_RESPONSE
1769655767.803359,2026-01-29 12:02:47.803,97900,P1_TRIAL_ONSET_GO
1769655768.804471,2026-01-29 12:02:48.804,98900,P1_NO_RESPONSE
1769655769.812003,2026-01-29 12:02:49.812,99900,P1_TRIAL_ONSET_NOGO
1769655770.811903,2026-01-29 12:02:50.811,101000,P1_NO_RESPONSE
1769655771.811236,2026-01-29 12:02:51.811,102000,P1_TRIAL_ONSET_NOGO
1769655772.825492,2026-01-29 12:02:52.825,103000,P1_NO_RESPONSE
1769655773.817039,2026-01-29 12:02:53.817,103900,P1_TRIAL_ONSET_GO
1769655774.827536,2026-01-29 12:02:54.827,105000,P1_NO_RESPONSE
1769655775.857041,2026-01-29 12:02:55.857,106000,P1_TRIAL_ONSET_NOGO
1769655776.838594,2026-01-29 12:02:56.838,107000,P1_NO_RESPONSE
