unix_time, readable_time, sample_index, sequence, D0, D1, D2, D3, A1_(EMG), A2_(EDA), A3_(ECG), A4, A5, A6
1769151046.164024,2026-01-23 15:50:46.164,0,0,1,1,0,0,512,1020,526,2,0,0
1769151046.165024,2026-01-23 15:50:46.165,1,1,1,1,0,0,516,1020,525,2,0,0
1769151046.166024,2026-01-23 15:50:46.166,2,2,1,1,0,0,515,1020,524,2,0,0
1769151046.167024,2026-01-23 15:50:46.167,3,3,1,1,0,0,512,1020,524,2,0,0
1769151046.168024,2026-01-23 15:50:46.168,4,4,1,1,0,0,512,1020,525,2,0,0
1769151046.169024,2026-01-23 15:50:46.169,5,5,1,1,0,0,511,1020,526,2,0,0
1769151046.170024,2026-01-23 15:50:46.170,6,6,1,1,0,0,512,1020,526,2,0,0
1769151046.171024,2026-01-23 15:50:46.171,7,7,1,1,0,0,510,1020,527,2,0,0
1769151046.172024,2026-01-23 15:50:46.172,8,8,1,1,0,0,512,1020,527,2,0,0
1769151046.173024,2026-01-23 15:50:46.173,9,9,1,1,0,0,514,1020,527,2,0,0
1769151046.174024,2026-01-23 15:50:46.174,10,10,1,1,0,0,512,1020,526,2,0,0
1769151046.175024,2026-01-23 15:50:46.175,11,11,1,1,0,0,511,1020,526,2,0,0
1769151046.176024,2026-01-23 15:50:46.176,12,12,1,1,0,0,510,1020,525,2,0,0
1769151046.177024,2026-01-23 15:50:46.177,13,13,1,1,0,0,511,1020,524,2,0,0
1769151046.178024,2026-01-23 15:50:46.178,14,14,1,1,0,0,511,1020,524,2,0,0
1769151046.179024,2026-01-23 15:50:46.179,15,15,1,1,0,0,512,1020,524,2,0,0
1769151046.180024,2026-01-23 15:50:46.180,16,0,1,1,0,0,508,1020,523,2,0,0
1769151046.181024,2026-01-23 15:50:46.181,17,1,1,1,0,0,511,1020,522,2,0,0
1769151046.182024,2026-01-23 15:50:46.182,18,2,1,1,0,0,512,1020,523,2,0,0
1769151046.183024,2026-01-23 15:50:46.183,19,3,1,1,0,0,512,1020,522,2,0,0
1769151046.184024,2026-01-23 15:50:46.184,20,4,1,1,0,0,512,1020,523,2,0,0
1769151046.185024,2026-01-23 15:50:46.185,21,5,1,1,0,0,515,1020,523,2,0,0
1769151046.186024,2026-01-23 15:50:46.186,22,6,1,1,0,0,511,1020,524,2,0,0
1769151046.187024,2026-01-23 15:50:46.187,23,7,1,1,0,0,512,1020,524,2,0,0
1769151046.188024,2026-01-23 15:50:46.188,24,8,1,1,0,0,511,1020,524,2,0,0
1769151046.189024,2026-01-23 15:50:46.189,25,9,1,1,0,0,512,1020,525,2,0,0
1769151046.190024,2026-01-23 15:50:46.190,26,10,1,1,0,0,511,1020,525,2,0,0
1769151046.191024,2026-01-23 15:50:46.191,27,11,1,1,0,0,511,1020,524,2,0,0
1769151046.192024,2026-01-23 15:50:46.192,28,12,1,1,0,0,512,1020,524,2,0,0
1769151046.193024,2026-01-23 15:50:46.193,29,13,1,1,0,0,512,1020,524,2,0,0
1769151046.194024,2026-01-23 15:50:46.194,30,14,1,1,0,0,510,1020,523,2,0,0
1769151046.195024,2026-01-23 15:50:46.195,31,15,1,1,0,0,509,1020,521,2,0,0
1769151046.196024,2026-01-23 15:50:46.196,32,0,1,1,0,0,508,1020,521,2,0,0
1769151046.197024,2026-01-23 15:50:46.197,33,1,1,1,0,0,512,1020,520,2,0,0
1769151046.198024,2026-01-23 15:50:46.198,34,2,1,1,0,0,512,1020,519,2,0,0
1769151046.199024,2026-01-23 15:50:46.199,35,3,1,1,0,0,513,1020,519,2,0,0
1769151046.200024,2026-01-23 15:50:46.200,36,4,1,1,0,0,513,1020,519,2,0,0
1769151046.201024,2026-01-23 15:50:46.201,37,5,1,1,0,0,510,1020,519,2,0,0
1769151046.202024,2026-01-23 15:50:46.202,38,6,1,1,0,0,511,1020,520,2,0,0
1769151046.203024,2026-01-23 15:50:46.203,39,7,1,1,0,0,510,1020,522,2,0,0
1769151046.204024,2026-01-23 15:50:46.204,40,8,1,1,0,0,512,1020,522,2,0,0
1769151046.205024,2026-01-23 15:50:46.205,41,9,1,1,0,0,512,1020,523,2,0,0
1769151046.206024,2026-01-23 15:50:46.206,42,10,1,1,0,0,511,1020,523,2,0,0
1769151046.207024,2026-01-23 15:50:46.207,43,11,1,1,0,0,511,1020,523,2,0,0
1769151046.208024,2026-01-23 15:50:46.208,44,12,1,1,0,0,512,1020,523,2,0,0
