unix_time, readable_time, sample_index, label
1769668444.707474,2026-01-29 15:34:04.707,0,﻿
1769668444.950488,2026-01-29 15:34:04.950,0,START
1769668448.050765,2026-01-29 15:34:08.050,3000,User_ID_takamiya2
1769668448.068728,2026-01-29 15:34:08.068,3000,Play_Session_2

1769668448.068728,2026-01-29 15:34:08.068,3000,START

1769668448.058565,2026-01-29 15:34:08.058,3000,PHASE0_BASELINE_START
1769668508.058565,2026-01-29 15:35:08.058,63000,PHASE0_BASELINE_END
1769668508.244219,2026-01-29 15:35:08.244,63200,PHASE1_SCENE_START
1769668513.789671,2026-01-29 15:35:13.789,68800,PHASE1_TASK_START
1769668517.302874,2026-01-29 15:35:17.302,72300,P1_TRIAL_ONSET_NOGO
1769668518.303393,2026-01-29 15:35:18.303,73300,P1_NO_RESPONSE
1769668519.812156,2026-01-29 15:35:19.812,74800,P1_TRIAL_ONSET_GO
1769668520.808741,2026-01-29 15:35:20.808,75800,P1_NO_RESPONSE
1769668522.312884,2026-01-29 15:35:22.312,77300,P1_TRIAL_ONSET_GO
1769668523.318478,2026-01-29 15:35:23.318,78300,P1_NO_RESPONSE
1769668524.819754,2026-01-29 15:35:24.819,79800,P1_TRIAL_ONSET_GO
1769668525.825328,2026-01-29 15:35:25.825,80800,P1_NO_RESPONSE
1769668527.329085,2026-01-29 15:35:27.329,82300,P1_TRIAL_ONSET_GO
1769668528.287394,2026-01-29 15:35:28.287,83300,P1_HIT_CORRECT
1769668529.780234,2026-01-29 15:35:29.780,84800,P1_TRIAL_ONSET_NOGO
1769668530.778301,2026-01-29 15:35:30.778,85800,P1_NO_RESPONSE
1769668532.280151,2026-01-29 15:35:32.280,87300,P1_TRIAL_ONSET_NOGO
1769668533.288317,2026-01-29 15:35:33.288,88300,P1_NO_RESPONSE
1769668534.788512,2026-01-29 15:35:34.788,89800,P1_TRIAL_ONSET_GO
1769668535.495764,2026-01-29 15:35:35.495,90500,P1_HIT_CORRECT
1769668536.999768,2026-01-29 15:35:36.999,92000,P1_TRIAL_ONSET_NOGO
